,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrEigen,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality
1,"ANG CS, 2010","ANG CS, 2010",0.011235955,0.014464489,0.000442867,0,0.003485955,0.000442867,0.000442867,168,150,13,0
186,"VERGEER M, 2011","VERGEER M, 2011",0.277153558,0.014804547,1,0.017839593,0.012980007,1,1,1,138,1,395.5176331
113,"LEE SK, 2015","LEE SK, 2015",0.239700375,0.014790605,0.930085158,0.00910217,0.010951033,0.930085158,0.930085158,3,60,1,328.4956117
4,"BANERJEE A, 2004","BANERJEE A, 2004",0.003745318,0.003745318,0,0,0.004644682,2.37E-18,2.37E-18,205.5,191,15,0
161,"SEO H, 2012","SEO H, 2012",0.235955056,0.014798803,0.780776992,0.017655816,0.011524119,0.780776992,0.780776992,4,122,1,602.4179808
7,"BARNETT GA, 2017","BARNETT GA, 2017",0.153558052,0.014757088,0.412183997,0.008112629,0.007787372,0.412183997,0.412183997,49,17,3,258.3065974
175,"TANEJA H, 2017","TANEJA H, 2017",0.119850187,0.014759536,0.261313315,0.010123231,0.00707672,0.261313315,0.261313315,64,10,3,270.7333215
8,"BENKLER Y, 2015","BENKLER Y, 2015",0.247191011,0.014793883,0.775267848,0.02632954,0.012785954,0.775267848,0.775267848,2,61,6,919.4597141
117,"LINDGREN S, 2012","LINDGREN S, 2012",0.086142322,0.014735913,0.182272384,0.005236445,0.005413239,0.182272384,0.182272384,85,120,2,205.3138988
195,"WOJCIESZAK ME, 2009","WOJCIESZAK ME, 2009",0.217228464,0.014781598,0.85840357,0.00836236,0.01018813,0.85840357,0.85840357,6,160,1,324.5562736
11,"BEST K, 2009","BEST K, 2009",0.007490637,0.014612522,0.015990234,9.24E-05,0.001499373,0.015990234,0.015990234,182,159,12,4.264866777
177,"TATEO L, 2005","TATEO L, 2005",0.176029963,0.014769333,0.692345196,0.003524022,0.008142897,0.692345196,0.692345196,28,188,7,157.9855669
39,"D'HEER E, 2014","D'HEER E, 2014",0.202247191,0.014782416,0.490885298,0.023314135,0.010710076,0.490885298,0.490885298,19,81,6,777.1258344
19,"BUECHI M, 2017","BUECHI M, 2017",0.082397004,0.014740794,0.20442219,0.00392092,0.004967331,0.20442219,0.20442219,87,5,2,173.8575978
87,"HUFFAKER D, 2010","HUFFAKER D, 2010",0.213483146,0.014784872,0.824476681,0.014598802,0.010314075,0.824476681,0.824476681,5,144,1,546.6188241
16,"BRIGGS CL, 2011","BRIGGS CL, 2011",0.007490637,0.014610123,0.011941498,0,0.001092957,0.011941498,0.011941498,192,137,27,0
112,"LEE S, 2011","LEE S, 2011",0.213483146,0.014776689,0.837244253,0.00746257,0.009918351,0.837244253,0.837244253,8,135,1,321.331472
31,"CHIN A, 2010","CHIN A, 2010",0.157303371,0.014765249,0.637502845,0.002332621,0.007282765,0.637502845,0.637502845,36,147,7,114.3252045
118,"LINDGREN S, 2013","LINDGREN S, 2013",0.078651685,0.014736726,0.154076635,0.001548795,0.004706399,0.154076635,0.154076635,101,101,2,51.49519856
20,"BURY R, 2017","BURY R, 2017",0.02247191,0.014671136,0.04083354,0.005710846,0.002589931,0.04083354,0.04083354,135,4,18,204.0206664
21,"BUTTERWORTH ML, 2014","BUTTERWORTH ML, 2014",0.011235955,0.014464489,0.000442867,0,0.003485955,0.000442867,0.000442867,166,84,13,0
57,"EVANS SK, 2015","EVANS SK, 2015",0.153558052,0.01477015,0.584873027,0.005767361,0.007503097,0.584873027,0.584873027,37,78,7,358.4186515
88,"HWANG YS, 2012","HWANG YS, 2012",0.209737828,0.014782416,0.811654429,0.008050102,0.009867502,0.811654429,0.811654429,12,125,1,319.1405954
24,"CARCIOPPOLO N, 2016","CARCIOPPOLO N, 2016",0.011235955,0.014598939,0.009279286,0.000198721,0.001521104,0.009279286,0.009279286,180,37,10,9.449958818
120,"LIU-THOMPKINS Y, 2012","LIU-THOMPKINS Y, 2012",0.205992509,0.014790605,0.764716209,0.01162147,0.009976788,0.764716209,0.764716209,11,115,1,457.70868
26,"CARUSI A, 2012","CARUSI A, 2012",0.007490637,0.014633344,0.020636055,0.000234945,0.001498603,0.020636055,0.020636055,178,126,12,8.842344662
71,"GOLAN GJ, 2016","GOLAN GJ, 2016",0.093632959,0.014738353,0.300623523,0.002237767,0.005007061,0.300623523,0.300623523,80,33,3,104.2487546
28,"CHECTON MG, 2017","CHECTON MG, 2017",0.014981273,0.014635751,0.023994472,0.00038269,0.001821113,0.023994472,0.023994472,173,16,10,14.87865915
59,"FEELEY TH, 2010","FEELEY TH, 2010",0.149812734,0.014759536,0.604867262,0.002266755,0.006972334,0.604867262,0.604867262,42,149,7,137.794321
30,"CHEWNING LV, 2015","CHEWNING LV, 2015",0.007490637,0.014498262,0.000840105,0,0.00192085,0.000840105,0.000840105,186,72,14,0
61,"FINK EL, 2015","FINK EL, 2015",0.138576779,0.014759536,0.519080016,0.002045243,0.00657262,0.519080016,0.519080016,51,77,7,119.9260675
110,"LEE C, 2016","LEE C, 2016",0.198501873,0.014778325,0.815990613,0.010096091,0.009360266,0.815990613,0.815990613,10,27,1,379.7129787
33,"CHOI S, 2014","CHOI S, 2014",0.026217228,0.014656639,0.031372445,0.011381802,0.003358241,0.031372445,0.031372445,116,88,24,408.0338259
131,"MUNCER S, 2000","MUNCER S, 2000",0.198501873,0.014776689,0.837469948,0.004641411,0.009199161,0.837469948,0.837469948,15,200,1,167.8356914
32,"CHO H, 2008","CHO H, 2008",0.194756554,0.014776689,0.802311368,0.008036657,0.009179211,0.802311368,0.802311368,13,166,1,261.6082861
103,"KREISS D, 2017","KREISS D, 2017",0.123595506,0.014757904,0.418081377,0.003280408,0.006134683,0.418081377,0.418081377,61,12,7,157.8028998
81,"HOPKE JE, 2016-1","HOPKE JE, 2016-1",0.172284644,0.014765249,0.48643243,0.012387211,0.008768136,0.48643243,0.48643243,34,24,6,461.0443315
78,"HIMELBOIM I, 2014-2","HIMELBOIM I, 2014-2",0.194756554,0.014779143,0.785429372,0.008804198,0.009171117,0.785429372,0.785429372,14,94,1,234.1653245
37,"COOK JM, 2016","COOK JM, 2016",0.161048689,0.014761984,0.402605904,0.013887957,0.008678987,0.402605904,0.402605904,39,48,6,565.2463002
89,"HYUN KD, 2012","HYUN KD, 2012",0.149812734,0.014767699,0.445487168,0.013434363,0.008100264,0.445487168,0.445487168,38,117,6,540.6014438
41,"DAHLBERG L, 2007","DAHLBERG L, 2007",0.029962547,0.014686469,0.04670972,0.000757074,0.002423519,0.04670972,0.04670972,154,172,4,37.24828095
42,"DAVID CC, 2010","DAVID CC, 2010",0.026217228,0.014668718,0.04137539,0.000151936,0.002150435,0.04137539,0.04137539,159,148,5,4.09886605
111,"LEE S, 2007","LEE S, 2007",0.086142322,0.014738353,0.251660132,0.002056976,0.004698962,0.251660132,0.251660132,83,173,3,104.4608221
116,"LIM YS, 2013","LIM YS, 2013",0.194756554,0.014781598,0.639690372,0.021471417,0.010160942,0.639690372,0.639690372,9,109,1,717.4311839
143,"PARK HW, 2008-2","PARK HW, 2008-2",0.194756554,0.014779143,0.78436063,0.007018914,0.00920819,0.78436063,0.78436063,18,169,1,325.1625851
58,"FEELEY TH, 2000","FEELEY TH, 2000",0.191011236,0.014776689,0.834109116,0.003356935,0.008803019,0.834109116,0.834109116,20,201,1,119.2648246
126,"MEJIAS UA, 2010","MEJIAS UA, 2010",0.191011236,0.014779961,0.709174152,0.012382968,0.009334968,0.709174152,0.709174152,17,145,1,521.8398102
140,"PARK HW, 2004","PARK HW, 2004",0.191011236,0.01477015,0.775872775,0.003993714,0.008762071,0.775872775,0.775872775,23,189,1,185.9355928
49,"DOERFEL ML, 2003","DOERFEL ML, 2003",0.003745318,0.01454803,0.005598123,0,0.000911418,0.005598123,0.005598123,199,193,33,0
119,"LINDGREN S, 2016","LINDGREN S, 2016",0.146067416,0.01477015,0.390104929,0.012681489,0.008044911,0.390104929,0.390104929,45,43,6,425.1232109
2,"ARIE Y, 2016","ARIE Y, 2016",0.187265918,0.014775872,0.698288051,0.005965996,0.008895275,0.698288051,0.698288051,25,32,1,222.2271446
188,"WANG R, 2016","WANG R, 2016",0.142322097,0.01477015,0.505204047,0.004331943,0.007124979,0.505204047,0.505204047,48,52,6,194.3730163
53,"EISENBERG EM, 2015","EISENBERG EM, 2015",0.187265918,0.014779143,0.769212898,0.005589919,0.00884555,0.769212898,0.769212898,21,79,1,296.293003
95,"KAISER J, 2017","KAISER J, 2017",0.074906367,0.014736726,0.181116344,0.00264915,0.004526337,0.181116344,0.181116344,96,20,2,108.8434
134,"NEUMAYER C, 2016","NEUMAYER C, 2016",0.074906367,0.014727784,0.151964833,0.004839182,0.004734096,0.151964833,0.151964833,95,53,2,146.7923627
