,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality,vertexCentrEigen
1,ABBATE J 1999,ABBATE J 1999,0.021452145,0.228765572,0.00328942,0.001068796,0.054091141,0.054091141,438,575,2,608.5828395,0.054091141
2,ACKLAND R 2006,ACKLAND R 2006,0.059405941,0.22705133,0.000518679,0.001595621,0.261333882,0.261333882,133,517,10,122.4574048,0.261333882
60,BARNETT GA 2001,BARNETT GA 2001,0.120462046,0.251452282,0.011332374,0.003632623,0.250006312,0.250006312,48,113,1,1455.062016,0.250006312
464,MONGE P 2003,MONGE P 2003,0.346534653,0.272850068,0.08129106,0.009170143,1,1,1,193,3,11482.34616,1
5,ACKLAND R 2011,ACKLAND R 2011,0.041254125,0.233256351,0.000611258,0.001294583,0.120937304,0.120937304,267,152,10,140.7771368,0.120937304
314,GRANOVETTER MS 1973,GRANOVETTER MS 1973,0.320132013,0.270053476,0.067518097,0.008834451,0.787726355,0.787726355,2,44,3,10093.65309,0.787726355
7,ADAMIC L 2001,ADAMIC L 2001,0.084158416,0.238020424,0.002589478,0.002288017,0.338638465,0.338638465,74,504,10,462.0456466,0.338638465
166,CASTELLS M 1996,CASTELLS M 1996,0.099009901,0.250724038,0.007596801,0.002976296,0.201481393,0.201481393,83,57,1,1202.950872,0.201481393
9,ADAMIC L 2005-2,ADAMIC L 2005-2,0.087458746,0.2375539,0.002855924,0.002340307,0.334184988,0.334184988,73,410,10,618.1471063,0.334184988
272,FREEMAN LC 1979,FREEMAN LC 1979,0.298679868,0.268022999,0.074324934,0.008445323,0.640738585,0.640738585,3,88,3,11874.12954,0.640738585
149,BURT RS 1992,BURT RS 1992,0.293729373,0.266373626,0.055209153,0.008039548,0.773560562,0.773560562,4,4,3,10112.36671,0.773560562
12,ADLER PS 2002,ADLER PS 2002,0.089108911,0.243471274,0.001648685,0.002489138,0.280879266,0.280879266,84,335,5,365.912436,0.280879266
13,AHN H 1999,AHN H 1999,0,0.001647446,0,0.000247811,0,0,606.5,576,15,0,0
586,WASSERMAN S 1994,WASSERMAN S 1994,0.259075908,0.26567295,0.058742436,0.007482646,0.53421708,0.53421708,5,163,3,9474.456847,0.53421708
46,BARABASI A 2002,BARABASI A 2002,0.201320132,0.261319534,0.027565037,0.005490802,0.604510205,0.604510205,6,117,3,4635.767437,0.604510205
513,PUTNAM R 2000,PUTNAM R 2000,0.181518152,0.257762654,0.015262266,0.004815352,0.60336652,0.60336652,7,340,3,2723.490662,0.60336652
17,ALDRICH H 2006,ALDRICH H 2006,0.075907591,0.241146041,0.001103256,0.002007558,0.332729441,0.332729441,82,407,10,187.781238,0.332729441
18,ALTHAUS S 2012,ALTHAUS S 2012,0.03630363,0.215888849,0.000994973,0.001331611,0.037538203,0.037538203,461,325,7,191.5155923,0.037538203
19,ALTMAN I 1975,ALTMAN I 1975,0.00330033,0.196053057,0,0.000359855,0.002578627,0.002578627,602,278,2,0,0.002578627
20,ANDERSON B 1991,ANDERSON B 1991,0.001650165,0.186346863,0,0.000317694,0.001031442,0.001031442,604,406,14,0,0.001031442
